stdio    D C:\LIBS5302Build\A5211\allegro\src\file_stdio.c:105  file_stdio_fopen                 [   0.00000] opening C:\Users\Zach\Documents\GitHub\adventure\adventure\bin\Debug\allegro5.cfg r
display  D C:\LIBS5302Build\A5211\allegro\src\display_settings.c:212  debug_display_settings           [   0.03875] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D C:\LIBS5302Build\A5211\allegro\src\display_settings.c:398  _al_score_display_settings       [   0.03878] Single Buffer requirement not met.
display  D C:\LIBS5302Build\A5211\allegro\src\display_settings.c:212  debug_display_settings           [   0.03881] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D C:\LIBS5302Build\A5211\allegro\src\display_settings.c:398  _al_score_display_settings       [   0.03885] Single Buffer requirement not met.
display  D C:\LIBS5302Build\A5211\allegro\src\display_settings.c:212  debug_display_settings           [   0.03888] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D C:\LIBS5302Build\A5211\allegro\src\display_settings.c:398  _al_score_display_settings       [   0.03892] Single Buffer requirement not met.
display  D C:\LIBS5302Build\A5211\allegro\src\display_settings.c:212  debug_display_settings           [   0.03895] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D C:\LIBS5302Build\A5211\allegro\src\display_settings.c:398  _al_score_display_settings       [   0.03899] Single Buffer requirement not met.
display  D C:\LIBS5302Build\A5211\allegro\src\display_settings.c:212  debug_display_settings           [   0.03902] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D C:\LIBS5302Build\A5211\allegro\src\display_settings.c:398  _al_score_display_settings       [   0.03906] Single Buffer requirement not met.
display  D C:\LIBS5302Build\A5211\allegro\src\display_settings.c:212  debug_display_settings           [   0.03909] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D C:\LIBS5302Build\A5211\allegro\src\display_settings.c:398  _al_score_display_settings       [   0.03913] Single Buffer requirement not met.
display  D C:\LIBS5302Build\A5211\allegro\src\display_settings.c:212  debug_display_settings           [   0.03916] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D C:\LIBS5302Build\A5211\allegro\src\display_settings.c:398  _al_score_display_settings       [   0.03920] Single Buffer requirement not met.
display  D C:\LIBS5302Build\A5211\allegro\src\display_settings.c:212  debug_display_settings           [   0.03923] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D C:\LIBS5302Build\A5211\allegro\src\display_settings.c:398  _al_score_display_settings       [   0.03927] Single Buffer requirement not met.
display  D C:\LIBS5302Build\A5211\allegro\src\display_settings.c:212  debug_display_settings           [   0.03930] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D C:\LIBS5302Build\A5211\allegro\src\display_settings.c:398  _al_score_display_settings       [   0.03934] Single Buffer requirement not met.
